,Name,name-greek,main-type,sub-type,description,Wiki link,Reference
342,Oneiroi,Ὀνείρων,god,sleep,god of dreams,Oneiros,Oneiroi
343,Morpheus,μορφή,god,sleep,god of dreaming,Morpheus,Morpheus
344,Acratopotes,Ἀκρατοπότης,god,other,god of unmixed wine,Acratopotes,Acratopotes
345,Agdistis,Ἄγδιστις,god,other,phrygian hermaphroditic deity,Agdistis,Agdistis
346,Aphroditus,Ἀφρόδιτος,god,other,cyprian hermaphroditic aphrodite,Aphroditus,Aphroditus
347,Astraea,Αστραία,god,other,virgin goddess of justice,Astraea,Astraea
348,Aglaea,Αγλαΐα,god,other,"goddess of beauty, adornment, splendor and glory (charites; χάριτες)",Aglaea,Aglaea
349,Euphrosyne,Εὐφροσύνη,god,other,"goddess of good cheer, joy, mirth, and merriment (charites; χάριτες)",Euphrosyne,Euphrosyne
350,Thalia,Θάλεια,god,other,goddess of festive celebrations and rich and luxurious banquets (charites; χάριτες),Thalia_(Muse),Thalia
351,Hegemone,Ηγεμόνη,god,other,goddess of mastery (charites; χάριτες),Hegemone,Hegemone
352,Antheia,Άνθεια,god,other,goddess of flowers and flowery wreaths (charites; χάριτες),Antheia,Antheia
353,Pasithea,Πασιθέα,god,other,goddess of rest and relaxation (charites; χάριτες),Pasithea_(Charites),Pasithea
354,Cleta,Κλήτα,god,other,goddess of fame and glory (charites; χάριτες),Cleta,Cleta
355,Phaenna,Φαέννα,god,other,goddess of gratitude (charites; χάριτες),Phaenna,Phaenna
356,Eudaimonia,Ευδαιμονία,god,other,goddess of happiness (charites; χάριτες),Eudaimonia,Eudaimonia
357,Euthymia,Ευθυμία,god,other,goddess of good mood (charites; χάριτες),Euphrosyne,Euthymia
358,Calleis,Καλλείς,god,other,goddess of beauty (charites; χάριτες),Kale_(mythology),Calleis
359,Paidia,Παιδία,god,other,goddess of amusement (charites; χάριτες),Paideia,Paidia
360,Pandaisia,Πανδαισία,god,other,goddess of banquets (charites; χάριτες),nan,Pandaisia
361,Pannychis,Παννυχίς,god,other,goddess of all-night festivities (charites; χάριτες),nan,Pannychis
362,Ceraon,Κεραων,god,other,"demi-god of the meal, specifically the mixing of wine (charites; χάριτες)",Ceraon,Ceraon
363,Syntribos,Σύντριβος,god,other,spirit which shatters pottery (daemones ceramici; δαίμονες κεραμικοί),nan,Syntribos
364,Smaragos,Σμάραγος,god,other,spirit which smashes pottery (daemones ceramici; δαίμονες κεραμικοί),nan,Smaragos
365,Asbetos,Ασβετος,god,other,spirit which chars pottery (daemones ceramici; δαίμονες κεραμικοί),nan,Asbetos
366,Sabaktes,Σαβάκτης,god,other,spirit which destroys pottery (daemones ceramici; δαίμονες κεραμικοί),nan,Sabaktes
367,Omodamos,Ωμόδαμος,god,other,spirit which crudebakes pottery (daemones ceramici; δαίμονες κεραμικοί),nan,Omodamos
368,Deipneus,Δειπνεύς,god,other,"demi-god of the preparation of meals, specifically the making of bread",Deipneus,Deipneus
369,Eileithyia,Εἰλείθυια,god,other,goddess of childbirth,Eileithyia,Eileithyia
370,Enyalius,Ενυάλιος,god,other,minor god of war,Enyalius,Enyalius
371,Enyo,Ἐνυώ,god,other,goddess of destructive war,Enyo,Enyo
372,Epidotes,Ἐπιδώτης,god,other, divinity who was worshipped at lacedaemon,Epidotes,Epidotes
373,Glycon,Γλύκων,god,other, snake god,Glycon,Glycon
374,Harpocrates,Ἁρποκράτης,god,other,god of silence,Harpocrates,Harpocrates
375,Hebe,Ήβη,god,other,goddess of youth and cup-bearer to the olympians,Hebe_(mythology),Hebe
