,Tweets,index
0,"1 God War Mars
2 God Sky Jupiter
3 God Speed Mercury
4 God Time Saturn
5 Goddess Love Venus
6 Goddess Earth Gaia
7 God Sky Uranus
8 God Seas Neptune 
9 God Underworld Pluto

1 God War Odin
2 God Thunder Thor
3 God Mischief Loki",44
1,"// the more I read about Loki and the paganism attached to him, the more I yearn to worship him.

My sibling, being Pagan herself, has her patron Goddess as Gaia (Mother Earth, Titaness, Greek), and lately, the more I learn about Loki, the more I realise that, he may ——",44
0,"Loki and Thor

#loki #thor #disney #hercules #disneycollection #hades #zeus #stitch #scar #pegasus #toys #figure https://t.co/MAH4tivEQL",45
1,//omg but Atreus meeting Hades then him saying his mother named him Loki…. Spartan kick to Tartarus 🤣🤣🤣 https://t.co/pHs4nfDQGo,45
2,"No #Godspouse doesn't mean you're married to Loki, Hades, Thor, or any of that nonsense #WitchTok and #CyberWitches . If you think it does it's time to take your anti psychotics. t). Godspousing is not a marraige it's a lifelong vow to bind oneself to the service of a deity. https://t.co/SyLrh6tFXk",45
3,Loki when I did the swap your sims style challenge vs Hades 😂😂😂 https://t.co/94aJ4IlAgz,45
4,Hades vs Loki https://t.co/Mv3gp5fELu,45
0,"ngl but waiting Logan lerman as Poseidon just remain me of the day when i hope loki will appear in Love and thunder, all my life is a clown🤡",46
0,"He’s moving Loki and Artemis to safety in the institute. Besides,  Izzy loves them.",47
0,The tear in creation Odin was obsessed with would have unleashed Athena if Loki or Odin would have put on the mask. She was thwarted in ragnarok and will not be again… dun dun dun,48
0,"Conecpt art of my interpretation of chaos gods
In order: Eris (Greek), Huehuecoyotl (Aztec), and Loki (Norse)
#conceptart #sketch #digitalart #originalart https://t.co/PpDOGx7JCq",52
0,"My dog Loki, a chihuahua mix rescue, just chased our neighbor’s Husky, Ares into his house. It wasn’t play. He’s very proud of himself right now. https://t.co/GkOMvAFCAs",53
1,"Ares says hi too 💜
With Loki sleeping at his side 🥺 https://t.co/1L5ShIIyT3 https://t.co/tyQeSc88vt",53
2,"/* I can see you as Thor, Ares, Zeus, Loki. https://t.co/PUujUQ1oFP",53
3,Called Ares Loki today and it stopped me dead in my tracks. I miss all my past pups and thank them so much for their love it’s unreal.,53
0,"1 God War Mars
2 God Sky Jupiter
3 God Speed Mercury
4 God Time Saturn
5 Goddess Love Venus
6 Goddess Earth Gaia
7 God Sky Uranus
8 God Seas Neptune 
9 God Underworld Pluto

1 God War Odin
2 God Thunder Thor
3 God Mischief Loki",57
0,"""Persephone...""

He paused for a moment, taking in what he'd just been told. A metaphorical light bulb light up soon after.

""I am Fenrir, Son of Loki. As for my sister, her name is Hel."" https://t.co/s9VXmnHyM0 https://t.co/sgxX8B2UbO",58
0,Aphrodite and Freyja are so sweet and cute and I love working on their story? Collection of head canons? General kawaiiness? 💕💙💚💕 https://t.co/wom40L5POk,62
